date,symbol,sent,news
2026-09-15,AAPL,,0
2026-09-15,BTC/USD,0.5932,1
2026-09-15,ETH/USD,,0
2026-09-15,MSFT,,0
2026-09-15,NVDA,,0
2026-09-15,SPY,,0
2026-09-16,AAPL,,0
2026-09-16,BTC/USD,-0.4767,1
2026-09-16,ETH/USD,,0
2026-09-16,MSFT,,0
2026-09-16,NVDA,,0
2026-09-16,SPY,,0
2026-09-17,AAPL,,0
2026-09-17,BTC/USD,,0
2026-09-17,ETH/USD,,0
2026-09-17,MSFT,,0
2026-09-17,NVDA,,0
2026-09-17,SPY,,0
2026-09-18,AAPL,0.345,9
2026-09-18,BTC/USD,0.20971052631578949,19
2026-09-18,ETH/USD,0.11121428571428572,7
2026-09-18,MSFT,0.29879,10
2026-09-18,NVDA,0.15859615384615383,26
2026-09-18,SPY,0.040916666666666664,36
2026-09-19,AAPL,0.2235,1
2026-09-19,BTC/USD,-0.08479999999999999,4
2026-09-19,ETH/USD,0.11386666666666667,3
2026-09-19,MSFT,0.3182,1
2026-09-19,NVDA,0.3894333333333333,6
2026-09-19,SPY,-0.3818,1
2026-09-20,AAPL,0.10705,2
2026-09-20,BTC/USD,0.4019,1
2026-09-20,ETH/USD,0.7717,1
2026-09-20,MSFT,-0.7269,1
2026-09-20,NVDA,-0.09253999999999998,5
2026-09-20,SPY,0.5203800000000001,5
2026-09-21,AAPL,0.18508333333333335,6
2026-09-21,BTC/USD,0.391715,20
2026-09-21,ETH/USD,0.2655727272727273,11
2026-09-21,MSFT,0.2369,13
2026-09-21,NVDA,0.07514615384615385,13
2026-09-21,SPY,0.07487906976744187,43
2026-09-22,AAPL,0.12103571428571427,14
2026-09-22,BTC/USD,0.31034210526315786,19
2026-09-22,ETH/USD,0.57074,5
2026-09-22,MSFT,0.07195000000000001,16
2026-09-22,NVDA,0.13364117647058824,17
2026-09-22,SPY,0.14877543859649123,57
2026-09-23,AAPL,0.269,16
2026-09-23,BTC/USD,0.10949411764705883,17
2026-09-23,ETH/USD,-0.06314,5
2026-09-23,MSFT,0.1723909090909091,22
2026-09-23,NVDA,0.14128823529411763,17
2026-09-23,SPY,-0.019772500000000005,40
2026-09-24,AAPL,0.225025,8
2026-09-24,BTC/USD,0.050414285714285724,14
2026-09-24,ETH/USD,0.16665555555555556,9
2026-09-24,MSFT,0.1697076923076923,13
2026-09-24,NVDA,0.36455,16
2026-09-24,SPY,0.07128723404255319,47
